,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
82,2023-05-08,198.47174247623218,175.29597913639353,231.92840291301493,198.47174247623218,198.47174247623218,4.858815854020544,4.858815854020544,4.858815854020544,4.858815854020544,4.858815854020544,4.858815854020544,0.0,0.0,0.0,203.33055833025273
83,2023-05-09,199.13625627640232,177.78230340624268,235.5775216751849,199.13625627640232,199.13625627640232,6.952789558977187,6.952789558977187,6.952789558977187,6.952789558977187,6.952789558977187,6.952789558977187,0.0,0.0,0.0,206.08904583537952
84,2023-05-10,199.8007700765725,180.9408108611555,234.60404970077877,199.8007700765725,199.8007700765725,6.403556996550121,6.403556996550121,6.403556996550121,6.403556996550121,6.403556996550121,6.403556996550121,0.0,0.0,0.0,206.2043270731226
85,2023-05-11,200.46528387674266,177.39321327819644,234.54973109243727,200.46528387674266,200.46528387674266,5.389365609304492,5.389365609304492,5.389365609304492,5.389365609304492,5.389365609304492,5.389365609304492,0.0,0.0,0.0,205.85464948604715
86,2023-05-12,201.12979767691286,179.50576146912357,235.49509815224422,201.12979767691286,201.12979767691286,5.867530937203416,5.867530937203416,5.867530937203416,5.867530937203416,5.867530937203416,5.867530937203416,0.0,0.0,0.0,206.99732861411627
87,2023-05-15,203.12333907742337,178.59596035150497,236.5303660459681,203.12333907742337,203.12333907742337,4.858815853971348,4.858815853971348,4.858815853971348,4.858815853971348,4.858815853971348,4.858815853971348,0.0,0.0,0.0,207.98215493139472
88,2023-05-16,203.78785287759354,183.2174049379769,239.75557072667524,203.78785287759354,203.78785287759354,6.95278955896118,6.95278955896118,6.95278955896118,6.95278955896118,6.95278955896118,6.95278955896118,0.0,0.0,0.0,210.7406424365547
89,2023-05-17,204.4577618259738,181.3301836798134,241.0062096071317,204.4577618259738,204.4577618259738,6.403556996553077,6.403556996553077,6.403556996553077,6.403556996553077,6.403556996553077,6.403556996553077,0.0,0.0,0.0,210.86131882252687
90,2023-05-18,205.12767077435404,183.59922347937484,240.77823063213987,205.12767077435404,205.12767077435404,5.389365609304136,5.389365609304136,5.389365609304136,5.389365609304136,5.389365609304136,5.389365609304136,0.0,0.0,0.0,210.5170363836582
91,2023-05-19,205.79757972273427,185.16805974034656,241.2201036225129,205.79757972273427,205.79757972273427,5.867530937190336,5.867530937190336,5.867530937190336,5.867530937190336,5.867530937190336,5.867530937190336,0.0,0.0,0.0,211.6651106599246
92,2023-05-22,207.80730656787503,184.01187145117336,241.69861292772876,207.80730656787503,207.80730656787503,4.858815853986647,4.858815853986647,4.858815853986647,4.858815853986647,4.858815853986647,4.858815853986647,0.0,0.0,0.0,212.66612242186167
93,2023-05-23,208.47721551625528,187.30390719514446,244.5806614860805,208.47721551625528,208.47721551625528,6.952789558966053,6.952789558966053,6.952789558966053,6.952789558966053,6.952789558966053,6.952789558966053,0.0,0.0,0.0,215.43000507522135
94,2023-05-24,209.14712446463554,187.5551463304561,244.0605077420313,209.14712446463554,209.14712446463554,6.403556996549937,6.403556996549937,6.403556996549937,6.403556996549937,6.403556996549937,6.403556996549937,0.0,0.0,0.0,215.55068146118546
95,2023-05-25,209.81703341301576,187.60392086682816,244.89972083309212,209.81703341301576,209.81703341301576,5.389365609308725,5.389365609308725,5.389365609308725,5.389365609308725,5.389365609308725,5.389365609308725,0.0,0.0,0.0,215.2063990223245
96,2023-05-26,210.48694236139602,188.4112046510969,244.64144326694932,210.48694236139602,210.48694236139602,5.867530937234295,5.867530937234295,5.867530937234295,5.867530937234295,5.867530937234295,5.867530937234295,0.0,0.0,0.0,216.35447329863032
97,2023-05-30,213.16657816339298,189.65829593780322,248.85389242622753,213.16657816339298,213.16657816339298,6.952789558967611,6.952789558967611,6.952789558967611,6.952789558967611,6.952789558967611,6.952789558967611,0.0,0.0,0.0,220.1193677223606
98,2023-05-31,213.83648711389222,190.85992762215437,248.06968559918963,213.83648711389222,213.83648711389222,6.403556996554172,6.403556996554172,6.403556996554172,6.403556996554172,6.403556996554172,6.403556996554172,0.0,0.0,0.0,220.24004411044638
99,2023-06-01,214.50639606439145,192.4162760178187,250.02518210631158,214.50639606439145,214.50639606439145,5.389365609308368,5.389365609308368,5.389365609308368,5.389365609308368,5.389365609308368,5.389365609308368,0.0,0.0,0.0,219.8957616736998
